"Id","ProfileType","Category","Attribute","ObisCode","IsValidated","AttributeIndex"
"31837b8e-7969-4b4b-8139-0c5446fa6088","1","3P","PrimaryBatteryStatus","1.0.96.7.0.255","0","2"
"c73113d6-d492-4832-8cec-3093f62f588d","1","3P","ReactivePowerKva","1.0.3.7.0.255","1","2"
"c52f5de7-675a-457e-a2a2-74fff499d228","1","3P","RecentBillingDate","0.0.0.1.2.255","1","2"
"cebf3800-7929-4468-8bc4-07de32e135af","1","3P","Relay Status - B Phase","0.0.96.3.135.255","0","2"
"1bb020dc-f6eb-4065-9866-bfdc89836faa","1","3P","RelayStatusNeutral","0.0.96.3.136.255","0","2"
"277326be-30e2-4439-a604-5fdd047f979f","1","3P","RPhaseCurrent","1.0.31.7.0.255","1","2"
"50064eb4-ca73-4fe8-86d3-809ac9ff73f9","1","3P","RPhasePowerFactor","1.0.33.7.0.255","1","2"
"94330921-5dd2-4b0f-b660-eb339c896be5","1","3P","RPhaseRelayStatus","0.0.96.3.133.255","0","2"
"68d34d86-dca2-4b2b-8166-8b07827558da","1","3P","RPhaseVoltage","1.0.32.7.0.255","1","2"
"00ca773b-9fd6-4f6d-8143-0ede4bece73f","1","3P","RTCBatteryStatus","1.0.96.8.0.255","0","2"
"125224fd-b388-48b1-85ab-7d17cac0f6a2","1","3P","RtcDateTime","0.0.1.0.0.255","1","2"
"9b1dae9a-a6b9-4a61-a1d9-aaeb59de0bf9","1","3P","RTCStatus","1.0.96.5.0.255","0",""
"ed69918e-b128-4946-a7ff-307ca71ffe82","1","3P","SignedPowerFactor","1.0.13.7.0.255","1","2"
"bef7e300-e151-444e-92ec-5de65f373de0","1","3P","SingleActionScheduleForBillingDate","0.0.15.0.0.255","0","2"
"fbd6a587-4651-4d87-8a63-3e1e27e75631","1","3P","SumLineReactivePowerQ1","1.0.5.8.0.255","1","2"
"db50ffc8-8fcc-41fa-bdbb-90f6afa4cd1b","1","3P","SumLineReactivePowerQ2","1.0.6.8.0.255","1","2"
"e3da1257-2354-4a8c-9d08-9e30fe2f81c5","1","3P","SumLineReactivePowerQ3","1.0.7.8.0.255","1","2"
"67cd13a1-f8cc-41b4-b054-6f1c9836868d","1","3P","SumLineReactivePowerQ4","1.0.8.8.0.255","1","2"
"3354a750-ceac-4e63-9462-60435ba58402","1","3P","SupplyFrequency","1.0.14.7.0.255","1","2"
"553c537e-9946-4aba-9e5e-0d17848156b7","1","3P","Temperature","0.0.96.9.128.255","0","2"
"7e615966-50b4-462c-8aca-485311fb87e7","1","3P","TimePeriodForLRSC","0.128.96.0.20.255","0","2"
"2ac1ed29-5cfb-4d04-826b-bf50c6f37898","1","3P","YPhaseCurrent","1.0.51.7.0.255","1","2"
"409425b3-2026-4e84-8dde-cfede125c3ee","1","3P","YPhasePowerFactor","1.0.53.7.0.255","1","2"
"6aa553c8-a5b6-43d6-b403-fbc402fc23d6","1","3P","YPhaseRelayStatus","0.0.96.3.134.255","0","2"
"bf548567-5271-4ccf-a1ae-2ba64593c1c9","1","3P","YPhaseVoltage","1.0.52.7.0.255","1","2"
"edf8bc4d-48fe-462c-bbc4-53ceeba9b138","1","CT","ActivePowerKw","1.0.1.7.0.255","1","2"
"7b05466e-b349-4e64-b32a-52f4cb4033fe","1","CT","AngleBetweenRBPhaseVoltage","1.0.81.7.20.255","1","2"
"9dc08e0b-2734-4bdc-a7c0-58e8380ae6be","1","CT","AngleBetweenRYPhaseVoltage","1.0.81.7.10.255","1","2"
"cdad52ef-233d-4093-bdee-7c26f48c0963","1","CT","AngleBetweenYBPhaseVoltage","1.0.81.7.21.255","1","2"
"d911c8c5-dd42-49de-bcbf-50e5e6633005","1","CT","ApparentPowerKva","1.0.9.7.0.255","1","2"
"79187b1a-4eda-4c2c-876c-32927cce0021","1","CT","BatteryVoltage","0.0.96.6.3.255","0","2"
"dcf7d887-bb36-450f-9755-705a12e3d9d4","1","CT","BillingPeriodCounter","0.0.0.1.0.255","1","2"
"6369334c-b577-4b48-a6fc-894645fbadf6","1","CT","BPhaseCurrent","1.0.71.7.0.255","1","2"
"748129b2-831b-4a4e-9b1e-e28d298c9297","1","CT","BPhasePowerFactor","1.0.73.7.0.255","1","2"
