"ProfileTemplateId","CommandTypeId","MeterCategory","ParameterName","TypeId","PayloadType","ProfileType","Profile","SerialNumber","Scalar","DataType","ProfileTemplateIdName","Details"
"0","3","1P","Mdw","2","1","INSTANT_DLMS_PULL_1P","1","11","0","Float32","MSEDCL",""
"0","3","1P","MdwDateTime","2","2","INSTANT_CUSTOM_PULL_1P","1","12","0","DateTime","MSEDCL",""
"0","3","1P","MdwDateTime","1","1","INSTANT_DLMS_PUSH_1P","1","12","0","OctetString","MSEDCL",""
"0","3","1P","MdwDateTime","1","2","INSTANT_CUSTOM_PUSH_1P","1","12","0","DateTime","MSEDCL",""
"0","3","1P","MdwDateTime","2","1","INSTANT_DLMS_PULL_1P","1","12","0","OctetString","MSEDCL",""
"0","3","1P","MdVa","1","1","INSTANT_DLMS_PUSH_1P","1","13","0","Float32","MSEDCL",""
"0","3","1P","MdVa","2","2","INSTANT_CUSTOM_PULL_1P","1","13","-2","UInt16","MSEDCL",""
"0","3","1P","MdVa","1","2","INSTANT_CUSTOM_PUSH_1P","1","13","-2","UInt16","MSEDCL",""
"0","3","1P","MdVa","2","1","INSTANT_DLMS_PULL_1P","1","13","0","Float32","MSEDCL",""
"0","3","1P","MdVaDatetime","1","1","INSTANT_DLMS_PUSH_1P","1","14","0","OctetString","MSEDCL",""
"0","3","1P","MdVaDatetime","2","1","INSTANT_DLMS_PULL_1P","1","14","0","OctetString","MSEDCL",""
"0","3","1P","MdVaDatetime","2","2","INSTANT_CUSTOM_PULL_1P","1","14","0","DateTime","MSEDCL",""
"0","3","1P","MdVaDatetime","1","2","INSTANT_CUSTOM_PUSH_1P","1","14","0","DateTime","MSEDCL",""
"0","3","1P","TotalPowerOnDuration","2","2","INSTANT_CUSTOM_PULL_1P","1","15","0","UInt32","MSEDCL",""
"0","3","1P","TotalPowerOnDuration","1","2","INSTANT_CUSTOM_PUSH_1P","1","15","0","UInt32","MSEDCL",""
"0","3","1P","TotalPowerOnDuration","1","1","INSTANT_DLMS_PUSH_1P","1","15","0","Float32","MSEDCL",""
"0","3","1P","TotalPowerOnDuration","2","1","INSTANT_DLMS_PULL_1P","1","15","0","Float32","MSEDCL",""
"0","3","1P","CumulativeTamperCount","1","2","INSTANT_CUSTOM_PUSH_1P","1","16","0","UInt32","MSEDCL",""
"0","3","1P","CumulativeTamperCount","2","1","INSTANT_DLMS_PULL_1P","1","16","0","Float32","MSEDCL",""
"0","3","1P","CumulativeTamperCount","2","2","INSTANT_CUSTOM_PULL_1P","1","16","0","UInt32","MSEDCL",""
"0","3","1P","CumulativeTamperCount","1","1","INSTANT_DLMS_PUSH_1P","1","16","0","Float32","MSEDCL",""
"0","3","1P","CumulativeBillingCount","1","1","INSTANT_DLMS_PUSH_1P","1","17","0","Float32","MSEDCL",""
"0","3","1P","CumulativeBillingCount","2","2","INSTANT_CUSTOM_PULL_1P","1","17","0","UInt32","MSEDCL",""
"0","3","1P","CumulativeBillingCount","2","1","INSTANT_DLMS_PULL_1P","1","17","0","Float32","MSEDCL",""
"0","3","1P","CumulativeBillingCount","1","2","INSTANT_CUSTOM_PUSH_1P","1","17","0","UInt32","MSEDCL",""
"0","3","1P","CumulativeProgrammingCount","2","1","INSTANT_DLMS_PULL_1P","1","18","0","Float32","MSEDCL",""
"0","3","1P","CumulativeProgrammingCount","1","1","INSTANT_DLMS_PUSH_1P","1","18","0","Float32","MSEDCL",""
"0","3","1P","CumulativeProgrammingCount","2","2","INSTANT_CUSTOM_PULL_1P","1","18","0","UInt32","MSEDCL",""
"0","3","1P","CumulativeProgrammingCount","1","2","INSTANT_CUSTOM_PUSH_1P","1","18","0","UInt32","MSEDCL",""
"0","3","1P","CumulativeEnergyKwhExport","1","1","INSTANT_DLMS_PUSH_1P","1","19","0","Float32","MSEDCL",""
"0","3","1P","CumulativeEnergyKwhExport","2","1","INSTANT_DLMS_PULL_1P","1","19","0","Float32","MSEDCL",""
"0","3","1P","CumulativeEnergyKwhExport","2","2","INSTANT_CUSTOM_PULL_1P","1","19","-2","UInt32","MSEDCL",""
"0","3","1P","CumulativeEnergyKwhExport","1","2","INSTANT_CUSTOM_PUSH_1P","1","19","-2","UInt32","MSEDCL",""
"0","3","1P","CumulativeEnergyKvahExport","2","2","INSTANT_CUSTOM_PULL_1P","1","20","-2","UInt32","MSEDCL",""
"0","3","1P","CumulativeEnergyKvahExport","1","1","INSTANT_DLMS_PUSH_1P","1","20","0","Float32","MSEDCL",""
"0","3","1P","CumulativeEnergyKvahExport","1","2","INSTANT_CUSTOM_PUSH_1P","1","20","-2","UInt32","MSEDCL",""
"0","3","1P","CumulativeEnergyKvahExport","2","1","INSTANT_DLMS_PULL_1P","1","20","0","Float32","MSEDCL",""
"0","3","1P","LoadLimitFunctionStatus","2","2","INSTANT_CUSTOM_PULL_1P","1","21","0","UInt8","MSEDCL",""
"0","3","1P","LoadLimitFunctionStatus","1","1","INSTANT_DLMS_PUSH_1P","1","21","0","Float32","MSEDCL",""
"0","3","1P","LoadLimitFunctionStatus","1","2","INSTANT_CUSTOM_PUSH_1P","1","21","0","UInt8","MSEDCL",""
"0","3","1P","LoadLimitFunctionStatus","2","1","INSTANT_DLMS_PULL_1P","1","21","0","Float32","MSEDCL",""
"0","3","1P","LoadLimitValueKw","2","1","INSTANT_DLMS_PULL_1P","1","22","0","Float32","MSEDCL",""
"0","3","1P","LoadLimitValueKw","2","2","INSTANT_CUSTOM_PULL_1P","1","22","0","UInt32","MSEDCL",""
"0","3","1P","LoadLimitValueKw","1","1","INSTANT_DLMS_PUSH_1P","1","22","0","Float32","MSEDCL",""
"0","3","1P","LoadLimitValueKw","1","2","INSTANT_CUSTOM_PUSH_1P","1","22","0","UInt32","MSEDCL",""
"0","3","3P","RtcDateTime","1","2","INSTANT_CUSTOM_PUSH_3P","1","1","0","DateTime","MSEDCL",""
"0","3","3P","RtcDateTime","2","1","INSTANT_DLMS_PULL_3P","1","1","0","OctetString","MSEDCL",""
"0","3","3P","RtcDateTime","2","2","INSTANT_CUSTOM_PULL_3P","1","1","0","DateTime","MSEDCL",""
"0","3","3P","RtcDateTime","1","1","INSTANT_DLMS_PUSH_3P","1","1","0","OctetString","MSEDCL",""
"0","3","3P","RPhaseCurrent","1","1","INSTANT_DLMS_PUSH_3P","1","2","0","Float32","MSEDCL",""
"0","3","3P","RPhaseCurrent","1","2","INSTANT_CUSTOM_PUSH_3P","1","2","-2","Int16","MSEDCL",""
"0","3","3P","RPhaseCurrent","2","2","INSTANT_CUSTOM_PULL_3P","1","2","-2","Int16","MSEDCL",""
"0","3","3P","RPhaseCurrent","2","1","INSTANT_DLMS_PULL_3P","1","2","0","Float32","MSEDCL",""
"0","3","3P","YPhaseCurrent","2","2","INSTANT_CUSTOM_PULL_3P","1","3","-2","Int16","MSEDCL",""
"0","3","3P","YPhaseCurrent","2","1","INSTANT_DLMS_PULL_3P","1","3","0","Float32","MSEDCL",""
"0","3","3P","YPhaseCurrent","1","2","INSTANT_CUSTOM_PUSH_3P","1","3","-2","Int16","MSEDCL",""
"0","3","3P","YPhaseCurrent","1","1","INSTANT_DLMS_PUSH_3P","1","3","0","Float32","MSEDCL",""
"0","3","3P","BPhaseCurrent","1","2","INSTANT_CUSTOM_PUSH_3P","1","4","-2","Int16","MSEDCL",""
"0","3","3P","BPhaseCurrent","1","1","INSTANT_DLMS_PUSH_3P","1","4","0","Float32","MSEDCL",""
"0","3","3P","BPhaseCurrent","2","2","INSTANT_CUSTOM_PULL_3P","1","4","-2","Int16","MSEDCL",""
"0","3","3P","BPhaseCurrent","2","1","INSTANT_DLMS_PULL_3P","1","4","0","Float32","MSEDCL",""
"0","3","3P","RPhaseVoltage","2","1","INSTANT_DLMS_PULL_3P","1","5","0","Float32","MSEDCL",""
"0","3","3P","RPhaseVoltage","1","1","INSTANT_DLMS_PUSH_3P","1","5","0","Float32","MSEDCL",""
"0","3","3P","RPhaseVoltage","2","2","INSTANT_CUSTOM_PULL_3P","1","5","-2","UInt16","MSEDCL",""
"0","3","3P","RPhaseVoltage","1","2","INSTANT_CUSTOM_PUSH_3P","1","5","-2","UInt16","MSEDCL",""
"0","3","3P","YPhaseVoltage","1","2","INSTANT_CUSTOM_PUSH_3P","1","6","-2","UInt16","MSEDCL",""
"0","3","3P","YPhaseVoltage","2","1","INSTANT_DLMS_PULL_3P","1","6","0","Float32","MSEDCL",""
"0","3","3P","YPhaseVoltage","2","2","INSTANT_CUSTOM_PULL_3P","1","6","-2","UInt16","MSEDCL",""
"0","3","3P","YPhaseVoltage","1","1","INSTANT_DLMS_PUSH_3P","1","6","0","Float32","MSEDCL",""
"0","3","3P","BPhaseVoltage","2","1","INSTANT_DLMS_PULL_3P","1","7","0","Float32","MSEDCL",""
"0","3","3P","BPhaseVoltage","1","1","INSTANT_DLMS_PUSH_3P","1","7","0","Float32","MSEDCL",""
"0","3","3P","BPhaseVoltage","1","2","INSTANT_CUSTOM_PUSH_3P","1","7","-2","UInt16","MSEDCL",""
"0","3","3P","BPhaseVoltage","2","2","INSTANT_CUSTOM_PULL_3P","1","7","-2","UInt16","MSEDCL",""
"0","3","3P","RPhasePowerFactor","1","1","INSTANT_DLMS_PUSH_3P","1","8","0","Float32","MSEDCL",""
"0","3","3P","RPhasePowerFactor","2","2","INSTANT_CUSTOM_PULL_3P","1","8","-2","Int8","MSEDCL",""
"0","3","3P","RPhasePowerFactor","2","1","INSTANT_DLMS_PULL_3P","1","8","0","Float32","MSEDCL",""
"0","3","3P","SignedPowerFactor","1","2","INSTANT_CUSTOM_PUSH_3P","1","8","-2","Int8","MSEDCL",""
"0","3","3P","YPhasePowerFactor","2","1","INSTANT_DLMS_PULL_3P","1","9","0","Float32","MSEDCL",""
"0","3","3P","YPhasePowerFactor","2","2","INSTANT_CUSTOM_PULL_3P","1","9","-2","Int8","MSEDCL",""
